"id","name","institution name","institution domain","num assigned Submissions","num submitted official reviews"
"~Amlaan_Bhoi1","Amlaan Bhoi","","","2","2"
"~Xiaoyu_Xu8","Xiaoyu Xu","","","3","3"
"~Yana_Wei1","Yana Wei","","","4","4"
"~Hongkang_Li1","Hongkang Li","","","3","3"
"~Manu_Chemudupati1","Manu Chemudupati","","","2","2"
"~Felipe_Maia_Polo1","Felipe Maia Polo","","","4","4"
"~Qiyao_Liang1","Qiyao Liang","","","3","3"
"~Qineng_Wang1","Qineng Wang","","","3","3"
"~Chunyuan_Deng1","Chunyuan Deng","","","2","1"
"~Lester_James_Validad_Miranda1","Lester James Validad Miranda","","","2","2"
"~Wang_Hao3","Hao Wang","","","2","2"
"~LI_Yang10","Yang LI","","","2","2"
"~Bowen_Qin1","Bowen Qin","","","4","3"
"~Nicolas_Zucchet1","Nicolas Zucchet","","","3","2"
"~Amil_V_Dravid1","Amil Dravid","","","3","3"
"~Jiazhou_Zhou1","Jiazhou Zhou","","","2","2"
"~Marek_Mateusz_Masiak1","Marek Masiak","","","3","3"
"~Yufeng_Zhao1","Hakaze Cho","","","4","4"
"~Yunzhen_Yao1","Yunzhen Yao","","","3","3"
"~Mingjie_Sun1","Mingjie Sun","","","3","3"
"~hanqi_yan1","Hanqi Yan","","","4","4"
"~Kexin_Huang6","Kexin Huang","","","4","4"
"~Xiaoguang_Guo2","Xiaoguang Guo","","","2","2"
"~Santosh_V._Patapati1","Santosh V. Patapati","","","2","2"
"~Sangmin_Bae1","Sangmin Bae","","","1","1"
"~Bingcong_Li1","Bingcong Li","","","2","2"
"~Shuhai_Zhang1","Shuhai Zhang","","","2","2"
"~Noam_Razin1","Noam Razin","","","4","4"
"~Wenzhao_Li3","Wenzhao Li","","","2","2"
"~Zihan_Qiu1","Zihan Qiu","","","4","4"
"~Hanshi_Sun1","Hanshi Sun","","","2","2"
"~Jianliang_He1","Jianliang He","","","4","4"
"~Yinghui_Li1","Yinghui Li","","","4","4"
"~Huaqing_Zhang2","Huaqing Zhang","","","4","4"
"~Xinyi_Wang2","Xinyi Wang","","","4","4"
"~Siming_Zhao2","Siming Zhao","","","3","3"
"~Shansan_Gong1","Shansan Gong","","","2","2"
"~Yanying_Lin1","Yanying Lin","","","2","2"
"~Shengqiong_Wu2","Shengqiong Wu","","","3","3"
"~Kaixiang_Zhao1","Kaixiang Zhao","","","3","3"
"~Hanlin_Zhang1","Hanlin Zhang","","","5","5"
"~Kaiyue_Wen1","Kaiyue Wen","","","4","3"
"~Yizhou_Liu1","Yizhou Liu","","","4","3"
